"review","reply"
"Too little meat portion on the pizza. ","Thank you for your feedback. We're sorry to hear fall below your expectations and will try our best to strike the balance in future."
"Food is delicious and portion is good. Garlic bread was very yummy! Salmon was a bit dry, could use a lemon wedge and it???d be perfection.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and we will improve further. Hope to hear from you again ????"
"Nice Chicken Wings Rice!!! Will order again. Second times order nice food!","Thank you! Welcome back :)"
"Rich burger lives up to its name with its rich flavours! I love the Hawaiian one and the BBQ sauce complements it beautifully","Thank you for your comments!! Our pleasure to serve you. ????"
"food Always its good taste ,so nice","Thank you! Hope you enjoy your foods!"
"Delicious food","Thank you! Hope you enjoy Rich Burger! ????"
"Real nice n great improvement","Hi , thank you so much for your feedback . Really appreciate it ????"
"awesome home cook food . Adam pedas was truly tasty ","Hi , thank you so much for your feedback . Really appreciate it ????"
"the rice portion is too little ","Hi , we are actually weighing our rice portion as well as our dishes before sending it out for delivery . It???s recommended for one serving . "
"fantastic awesome food. homely taste. definitely will support again. very tasty fd. ","Hi , thank you so much for your feedback . Really appreciate it ????"
"the pies are excellent, great size and awesome taste","Thank you very much"
"The carbonara with back and mixed grill with steak is super good, will order again to try the risoto and mac and cheese, heard this 2 is a must try","Thank you????????????"
"Satay sent was SPOILT and SOUR tasting! NEVER order from such F&B outlet that can serve out such quality food.","Hi, yes we note abt that so sorry that the Tripe was spoil. Hope this wont happen again. Thank you."
"Well packaged and love the taste
Items also reasonably priced ","Thank you so much for the review!
We're glad you had great experience with us ????"
"I ordered 2 portions of veggies for the 2 boxes but for 1 of the box there is only 1 leaf of cabbage. That's a bit too stingy... ","Hi there. Sorry for your bad experience with us.
As per the system, there was only 1 portion of cabbage ordered from you.
We will monitor on our side for the portion taken from our staff again. "
"bought a chicken katsu don set only to realise it doesnt come with sambal chili included. im supposed to add it on for $1??? you are outta ur mind.","Thank you for letting us know. Sorry for your bad experience with us.
This is definitely on us. All set meals are inclusive of sambal chili except for curry chicken set.
We will be monitoring our staff upon this issue. "
"An hour delivery time????","Hi there.
As per checking in our system, the order was accepted by our staff within a minute.
It was prepared within 10 minutes latest by our staff.
We will feedback on the delay of their drivers for the late delivery timing. "
"??????????????????","So sorry to see your review and really appreciate your support,we have taken very serious action to this matter and ensure it wouldn't happen again."
"?????????????????????","So sorry to see your review and really appreciate your support,we have taken very serious action to this matter and ensure it wouldn't happen again."
"I order deep fried wantan 7pcs cost $11.40 but I get plain chicken rice. Very upset on this matter. Why the restaurant did not check before giving to the delivery man. Poor service.","We apologize to our buyers. After this, you can order again and claim it back from us. we will give you a new one and the same item."
"rice abit tough today, sambal for the rice still need to improve too bland I rather have sambal belacan chilli taste and flavor is better .","Hi Mr Goh. Thank you for your kind support. We will try to work on our sambal and since you prefer sambal belacan you can request on the remark column and we will try our best to fulfill your request. Thanks again for the continuous support."
"Ada nasi lemak tak dalam menu?","Salam. Nasi lemak ada dalam menu tapi kita put it on hold sebab kita terlampau busy in the morning as our walk in customer queue non stop. Insya Allah tahun hadapan kita akan resume selling nasi lemak. Thanks for your support."
"dish (meat) portion is too small, meat patties are extremely thin","Thanks for your feedback . We go by standard weight per portion . Vegetables , egg and rice are filled to the brink of the bento box "
"i order roti prata set 5 dollar 2 pcs but received only 1pc","We apologize for inconvenience caused , your feedback has been invaluable to us. Please let us know whenever you eat at our place again, We will make sure to compensate in some way for the trouble caused."
"No taste. Dont know is it because they change the chef or the increase in ingredients ( for 2 pax ) cause a misjudgment in the amount of seasonings needed. Regular customer of this shop but not anymor","So sorry to hear your disappointed experience with us. We have seriously taken your opinion into our account and will improve immediately. So sorry for the unpleasant experience but really appreciate your support."
"Food taste fantastic. literally like home made food. Highly recommend :D","Hi , thank you so much for your feedback . Really appreciate it ????"
"2nd time ordering, today fd taste was totally different from previous order. the prawn sambal taste different. I still like e previous taste but nevertheless still gd. portion tis time was more ","Hi , thank you so much for your feedback . Really appreciate it ????"
"The soto ayam is the best. ","????????????????????????????????????"
"All wrong orders. Not tasty","we apologize for 1 of the 3 orders. U Ordere 3 combi but my staff saw wrongly and prepared the 3 combi w rice instead of the combi. Yr money has been refunded by FP for our error. Will remind our staff to be more careful for future orders."
"All good. 5 stars ","Hi thank you for your feedback, we really appreciate it ????"
"One of the best service ever! They ran out of the chips i wanted and gave me another flavour + complimentary cookie. Such nice gesture :)","
Dear Sir/Mdm

Thank you for patronising our Subway outlet.

We hope that you enjoyed your meal and we hope to see you again!

Cheers
Subway"
"Noodles are salty. Ordered twice the same ","Hi, thank you for your valuable feedback. Our team have now created the option for less salty for all our dry noodle option. We hope to serve you soon, thank you."
"Diarrhoea many times after consuming food for dinner.","Hi there, we did a check with our customers of that day and did not receive any complains or issues with our product!

We do sympathise with your situation and hope you are feeling better. "
"Diarrhoea many times after consuming food for dinner.","Hi there, we did a check with our customers of that day and did not receive any complains or issues with our product!

We do sympathise with your situation and hope you are feeling better. "
"Liked the fact that it is not super salty. All good, but hope Aunty can give more rice.","Noted on this, Thanks for your feedback!"
"I order mushrooms & chicken pasta, it was tasteless and not worth for $10+. Add on mushrooms soup also tatse bad, i recommend not to order from here again. As this is a watse of money$$$.","Thank you for your valuable feedback ???? Sorry for your experience, we will look into it and improve further. Hope to hear from you again ????"
"Very good food ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"The Popcorn Chicken here is a must. Unlike those from other place, their popcorn chicken are bigger in chicken meat with nice batter coating, leaving it crispy outside and tender inside.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Repeated customer. Tasty, good portion. Salmon very well pan fried, crispy on skin, fully cooked inside","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Delivery was fast but the fries was undercooked. All in all the food was fine.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Nice. reasonable price","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Fast and yummy food","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Vslue for money. Aglio olio very tasty. But onion rings came soggy","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Yummylicious. Repeat order. Good portion and cgicken is flavourful ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"decent food, mushroom soup can be improved","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Was an hour and half late and one of the cakes was not what I ordered ","Hi
We apologize for the inconvenience caused.
Please contact us on +65-97279363 to escalate the issue."
"Cake is frozen when it arrived cant even cut cake and eat, delivery took more than 2 hours and its untraceable, we kept waiting in the restaurant until the restaurant chased us out. ","Hi
We apologize for the inconvenience caused.
Please contact us on +65-97279363 to share the details. We will get back to you with a suitable solution."
"fresh fries, fresh coleslaw, best mash potato ever. try their new hack menu, garlic bread for their burger meal.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"there are 5 coffee shop near me. this is the best western in years that we had. best Western food in bedok! ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Great food . I love the chicken yellow rice , very tasty and the chicken wings is so nice . Fries all good . overall ??????????????????????????????????????????","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Very very delicious ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"over rated... ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Bland,soggy aglio olio, disgusting flavoured canned mushroom soup, truffle fries had way too much sauce,had expected the sauce to be separated in tiny containers. Do not reccommend this place at all. ","Thank you for your valuable feedback ???? Sorry for your experience and we will improve further. Hope to hear from you again ????"
"Order the sirloin strip medium however its too tough to chew and there are so much tendons in this sirloin. Disappointing..","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Honestly it was lacking in flavour and texture. But it did come warm.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"???????????????????????????????????????????? is good","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"all good. prompt delivery. nuggets still considered Crispy although paper bag was wet  with condensation. Will rec","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Sooooooo good and arrives hot!","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"portion is average & taste is good.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"yeah ????????????????????????","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Pasta was good though the carbonara one was a bit soggy.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"need to learn how to aglio olio","Thank you for your valuable feedback ???? Sorry for your experience and we will improve further. Hope to hear from you again ????"
"the food was oily but otherwise ok","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Olio pasta was more tomato based than olio flavour ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Value for money. Bloody delicious! Returning???","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Steak was well done","Thank you for your valuable feedback ???? Sorry for your experience, we will look into it and improve further. Hope to hear from you again ????"
"Reallt excellent western food flavor ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Fast delivery ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hope to hear from you again ????"
"Fries was soggy and the fried chicken was too salty. Fish batter was clumpy and soggy. Wish they could have separated the fries and the chicken","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Serving size too small. Not value for money. ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Portion of fish is so small, you can finish in one big bite. For the price paid, it's really not worth it. Soup is watery and taste weird too. ","Thanks for your feedback . Fish is Halibut fish fillet at $30 plus per kg . After steaming it will lose some water content and shrink . Soup of the day is water cress soup . Everyday we have different kind of soup"
"the taste is good. The packaging of the food is good. I like the way they present the food. The food portion is acceptable as I am not a big eater. Please keep it up! ","Thanks so much for the encouraging feedback . Will definitely keep it up !"
"One of the most satisfactory burger i had! ","Thank you!????"
"underrated ","Dear beloved customer,

Thank you for your compliment. :)"
"Nice carrot cake and nasi lemak. ","Thank you for the 5 stars review. Have a nice day."
"toilet soap smell!","We apologise for your negative experience with ishiro , but we would like to clarify that we are located nowhere near any toilet or prepare our food near any soap/washing liquid for that matter. Thank u . "
"received piping hot for Tahu begedil n lekor. generous with the sambal. ","???? Thank you Customer for Ur Support. ????"
"order fish head bee hoon but give fishcake with some pork. Cheating! ","We apologize for any inconvenience. Following an internal check, it appears that the delivery driver may have picked up the incorrect order. Thank you for your feedback."
"Food quality is poor, fish bones left over in the boil fish, perhaps it was midnight ran out of ingredient? But that was horrible I paid $40 for the meal. ","Hi our fish used is fresh fish but not the fish slice sell in the market, hence all the fish slices are cut by our chief. To ensure no wastage, we also put inside the bone cos still have the fish meat on it. Will ensure even distribution next time!"
"Food was great but they forgot my youtiao??? :(","?????????????????????????????????????????????"
"poor drinks???borderline undrinkable","We are sorry to hear that our service has not met your expectations Or not to your preference.Our team takes your feedback seriously and is actively looking for ways to improve on it."
"Cauliflower pops too oily","Its deep fried, hence oily. plus it took 30mins to travel. Its not going to be crunchy. Dine-in and experience the difference."
"Super duper tiny brownies.","Dear Customer thank you for your feedback, it???s 7???  standard size cut into 36pcs, loaded with chocolates and assorted flavours which can value the cost of payment, we are not able to deliver bigger size brownies at this cost, thank you"
"taste good and satisfied with tasty kothu parata...
taste like homemade food... ","Dear Customer,

Thanks for your feedback. We will continue our service."
"the chips/fries not given together with the chip chic as shown in the menu..
food nice & tasty not salty at all..","Thank you for the feedback. The chip chic is actually chicken coated with chips(crackers). It's ala carte. But we'll take into consideration to make it a set that comes with fries ????. Thank you for the support!"
"nice but portion too little..","Thank you for the feedback but that's the only size available for the ice lollies."
"Dumpling strong pork smell.","Dear Customer,
We are Halal Certified. We do not serve Pork. Hope that clarifies.
"
"Banh mi is not fresh and crispy. The price is quite expensive but the quality is not good. ","Thanks so much for your kind review, hopefully can service you again . We promise will make it better ."
"drink dind't cover properly, when delivery guy pass mee drink left only half","I closed the lid well, I think the rider spilled it, so next time I'll give you another cup of coffee."
"Dry mala overall was not too salty and not too oily. the noodles and other ingredients were perfectly cooked; noodles were not soggy at all. my favourite mala place!","Thank you for your support"
"pathetically bland food. It seems they don't have money to buy salt.","The chef has more than 30 years experience. You like salty food ,doesn't mean that our food is bad. If you would like more salt,let us know and we will provide you a sachet of salt."
"Wonderfully prepared drink!","Thank you ????????????"
"Very good , just the Hawaiian drink was a little blend , keep it up.","Thank you for your feedback ????????????"
"food's tasty. reasonably priced. quick delivery. will order again.","Hi there,

Thanks for your review and support. ???? "
"shop name and address  r totolly differemt between actual and what shown in the app, waste lots of time to find the shop    ","Thanks for your feedback, it's quite important for us. We are so sorry to dissatisfy you.
we've contacted with platform to remark our stall name, thank you again.
"
"First time ordering. Hands down the food is goooooood!!!!","Good customer like u deserve good food.... ???? thankiu for ur support n continue to support us yah????????"
"The food was average, not really worth the price. Rice was not very lemak, they took special requests well though, helping me to seperate the chilli","Thank you for sharing your feedback with us. We strive to improve and provide better experiences. If you have any specific suggestions, please reach out to us at feedback@nasidon.com. We hope to have the opportunity to serve you better in the future."
"Nice food at reasonable price. Keep up the good work! ","Thank you for your kind words! We're delighted to hear that you enjoyed our food, and we appreciate your encouragement. We'll continue working hard to bring you delicious meals at reasonable prices. Looking forward to serving you again soon!"
"Meat is very dry","We are sorry that our food has not met your expectations and we will strive to improve in the areas of your feedback. Should you have any other feedback, please reach out to us at feedback@nasidon.com."
"The shabu pork belly was very tough. Not soft. ","Thank you for bringing this to our attention. Your feedback is important to us, we take food quality seriously and will investigate this issue. We hope you'll give us another chance to serve you better in the future."
"Worst food too salty and the fish curry is awfull ","Dear Customer,
We apologies for the inconvenience caused. We will correct the fault and serve your better."
"Murtabak portion is good. However, Mutton Chukka's portion is very little for a $8.90 dish =(","Dear Customer,
Thanks for your feedback. We always try to justify ourself in terms of quality and quantity. However we will consider your feedback and inform our chef and service crew."
"chicken steak is not what is depicted in picture. ","Dear Customer,
We will correct ourself and try to provide as depicted in picture.Pictures normally for illustration purpose only and we try to match as much as possible."
"excellent briyani with pepper chicken after long time....
tasty food????????","Dear Customer,
Thanks for your feedback. We are happy to serve our customers."
"15 dollars for a large size bowl but looks like a small.","Hello, would kindly appreciate if you have a picture of the item can send to us at newtontianxiangprawn@gmail.com so we can do necessary refunds if it???s our fault thank you !"
"Food not nice at all. ","Hi, can you elaborate how the food are not nice? Eg. Too salty, too bland...so that we can improve from it. Its a little surprising because this is the first time we've received feedback that the fod is not nice."
"Messed up my order by only giving half of the food that I ordered. How can something like that happen? It doesn't take a lot of time to check. Ended up waiting another hour to get more food for family","Apologies that our team has missed out on the quantity in front of the dish."
"Yummy! Repeated customer!","Thank you very much for your support, it is our greatest encouragement
Arigat??gozaimasu ????"
"Nice meal i had ","Thank you! Happy to see you enjoy Rich Burger. ????"
"First time order. I liked the sambal very much, remember of my mum???s cook. Will repeat order again. Just want to know is it halal???.","Hey , thank you for your feedback. We are not halal certified yet but we don???t consume or cook pork ????"
"Food???s good. Feels homecooked, abit on the spicier side. Will include to cook less spicy in the comments next time. Hope there could be egg added in the meals. Thank you ","Hey thank you so much for the feedback. Will try to add something in our future orders ????"
"food was so.cold egglet become bread. ","Hi, all our egglets are baked fresh upon order and are hot. However due to delivery circumstances that we can't control, distance as well as how the rider keeps the food, it may turn cold, although rarely, as delivery radius is usually near."
"2nd time order the food taste different and not as good as 1st time order ","Hi may I check what did you order ? So I can do a check . Your feedback is important to us ????"
"not great at all. package is poorly wrapped. big dissatisfied ","Dear customer,

We apologize for the disappointing experience. Your feedback is valuable, and we'll address the packaging issue to ensure a better service. Thank you for bringing this to our attention."
"Ordered chicken burger, chicken chop and fish and chips. All taste good. Can consider packing the fries separately to prevent it from being soggy","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and to hear from you soon ????"
"Food is tasty, but pasta was a little overcooked. For the cheesy tater tots, would recommend putting the cheese sauce on the side instead of on top of it. Keep up the good work! ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and to hear from you soon ????"
"Food hot and tasty. will order other food again.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and to hear from you soon ????"
"today soto tasted slightly weird... almost soapy plus a soapy fragrant scent... ????","Soapy? Wah seriusly duno what to rply???.. very2 rare review ????"
"my favourite Malay stall around this area. But the mee rebus noodles tasted uncooked today. Also mee siam is too sweet. lontong still good","????????????????????????"
"Steamed fish was really good! Garlic chicken donburi was also flavorful but a bit dry. Perhaps a some kind of sauce to go with the rice would be a nice addition. Overall worth a try","Thank you for your kind words and support."
"The food was alright, had to wait quite a while longer than my pick up time ","Sorry for inconvenience."
"Great portion!! ","Thank you! We hope to serve you again!"
"Big portion and tasty","Thank you! We hope to serve you again!"
"Hi Mam,

Ordered sambal fish with rice expected inclusion of at least 1 vege as a whole but it was not & i must say the rice portion was too little maybe it's packed in a bento set?

SF was tasty.
","Hey , we will try to make the portion big and we are coming up with a vegetable dish as well . Thank you for your feedback ????. "
"Food quality is low. Seafood is little in the tomyum soup and the prawn is dark (turning black) and not fresh ! No basil taste in the basil chicken . Will not order again ","Our tomyam seafood 2big prawn 2sotong 2fish 4fishball and mushroom for only $8.90. Basil leaf rice is using holy basil leaf so you will not taste the mint favour that a lot of people don???t like."
"2nd time buying. Food was delicious and the fish gravy was thick n nice for the prata and thosai. We love the food ????","Thank you so much for your kind words and for choosing us again! We're thrilled to hear you enjoyed the fish gravy with the prata and thosai. We strive to serve the best for our valued customers like you. Looking forward to serving you again soon!"
"Nice n satisfying drink!","Thank you for your purchase and appreciate your great review."
"The drinks are packaged in those plastic cups you often see in hawker centers. It's very flimsy.  The drinks also look very different compared to the photos. Overall, not worth it.","Dear valued customer.
We apologized for the cup as it is a temporary cup and already used our new hard cup for the drinks. We will try our best to improved the drinks and meet our customer expectation. Thank you for your purchase and support. "
"Taste so so, price is steep, cake damaged when delivered. Delivery guy was friendly though","Dear,

We are sorry for the inconvenience caused.

Please be assured that we will definitely work on your feedback to give better experience in the future.

Flowerly Yours,

Team fnp.sg"
"Nice taste and good amount of portion ","Thank you for the review!
We're glad you had a great experience with our laksa, gado-gado and mee soto ????
Looking forward to serving you again.
"
"why they didnt give me rice????????????","Hi dear, Soup is not including rice, the rice need to addon at the option there, I saw you choosing Plain. "
"food extremely salty. way too much salt and kills the taste of the food. ayam berempah very over cooked and hard - also salty. ayam kunyit was a real disappointment. I hope today was an off day for u.","Hi Sir/Madam, first & foremost, apologies to the inconvenience caused. We accept your feedback and will continue to improve our cooking style. Apologies once again. Thanks."
"All 4 packets of rice went missing. Ingredients all submerged in half container filled with oil. Last chance given. ","So sorry to see your review and really appreciate your support,we have taken very serious action to this matter and ensure it wouldn't happen again."
"HORRIBLE ! They dont serve what they present on their website","Dear Valid Customer,
Thanks for this feedback. We sincerely apologize for this misunderstanding on the Web.
Please take note that some of the food items on the Web show in 2 or 1 pcs.
We hope this explanation answers your doubts.
"
"i love to eat thunder tea rice but this really not nice.  Taste not good, veggie also fry not nice, this is i ever eat the lousy one ????","Thanks for your feedback. We Will improve."
"Food is good. It is a shame that they have stopped giving cut chilli with Kolo Mee which goes very well with the noodles. ","Thanks for your feedback, and we value it, so we have actually instructed our outlets to give chilli with all orders. We apologize for any inconvenience you may have experienced previously and hope we can serve you again in the future. Thank You.
"
"Second order. The mango pomelo is vvv good! First time trying kiwi, also pretty good!","We appreciate for your support and review, thank you very much!"
"Fast delivery","Thank you for your review."
"1. Barley Lychee drink was sweeter than expected even at 25%
2. Mint red tea was VERY minty upon opening but tasted good for this hot weather.
3. Love the fresh peach milk tea for it's crumbles.","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"one bottle cap is too tight. it took me some time to open. i am a senior","Thank you-It's sweet of you to say so.We have identified the issue and thoroughly investigated it in order to minimize its occurrence. Your valuable feedback is greatly appreciated."
"all wrong item","Hi My Apology,

it might be the delivery took the wrong packet.

We will be more careful next time.

Thanks for your comments for us to get improve.

Regards"
"Regular customer!!!!","????????????????????????????????????????"
"Food is excellent. The takeaway packaging is protects the packed food well and it is very convenient to consume the food directly without spill. ","Thank you very much for your kind words and support."
"Ordered the steamed chicken rice, the chicken was ok but the rice is very fragrant. Wanton soup and fried wantons are really yummy. Meat filling is quite a lot compared to other stalls.","Thank you for leaving us such an awesome review - it's very appreciated! We're glad you enjoyed our dishes and hope to see you again soon."
"Very impressive on their food portions.","Thank you for leaving us such an awesome review - it's very appreciated! We're glad you enjoyed our dishes and hope to see you again soon."
"burger was delicious! calamari and fries were both good too thank you ???? ","Thank you! Great to see you enjoy Rich Burger :)"
"The fish burger is good. ","Thank you! Next time you can try our beff burger! ????"
"food was good. just the fish in the Tom yum soup has fishy smell","Thank you for your feedback. All feedback is important to us and we are sorry if some dishes did not meet your expectation. We hope it won't deter you to order food from us again!"
"liked the nasi goreng kampung. flavour was good. kuay teow goreng with chicken could have been more dry and spicy. it was a bit tomato based. but still yummy!","Thank you for your feedback. All feedback is important to us and we are sorry if some dishes did not meet your expectation. We hope it won't deter you to order food from us again!"
"seafood fried rice, no salt","Thank you for your feedback.
All feedback is important and we're sorry to hear that it did not meet your expectation this time.
Please know that we'll be addressing this review to improve on our food quality and do better in the future."
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"Give very little chilli packets (western)","Thank you for your feedback. We try our best to fulfill customers requests. However, we felt short this time around. We hope it won't deter you to order food from us again."
"Very expensive. Thankfully the food is nice.","Thank you for rating us 5 stars. Hope to serve you again soon!"
"Expensive. Taste not too bad","Thank you for rating us 5 stars. Hope to serve you again soon!"
"The food is nice of course there are room for improvement. I like the crispy bread maybe  i stay nearby and fast delivery make the difference. suggest others to try it and I will order again next time","Your Reply:
Hi, first of all, thank you so much for ordering with us, and also leaving your feedback. We appreciate you.
We would like to thank you ! ??????????????
"
"Portion is kinda small (i ordered medium) but it is still able to satisfy a late night craving.","Noted will take note of your feedback and adjust the portions more. Thank you still for the 4 stars !!! Appreciate it a lot !!"
"buy drink dun give straw then how to drink?","Sorry we will be more careful next time."
"Milk teas are all diluted.. ","Sorry to have disappointed you. May I suggest less ice for your future order so that the ice will not dilute the tea during the whole course of delivery."
"One third of our orders were wrong and the pearls are too tough","Sorry to have disappointed you. The new trainee may have mixed up some of the orders. We are terribly sorry about your experience."
"Bought Alishan tea with cheese foam. The drink is good with perfect blend. Nice tea taste. Drink was ready within 10 mins and the staff is friendly.","Thank you for your kind words. We will keep up the good work and would love to serve you real soon."
"great","Thank you for your review! We hope to serve you again."
"foul after taste. probably rusty pot used for boiling","Apologies for any letdown. We always use fresh, clean equipment for our tea preparation. We look forward to serving you with an improved menu in the future. Thanks for your support!"
"Chicken needs to be cooked longer. Has slight raw taste.","Hi , thank you for feedback . We will take note on this . However , all our chicken are fried first before adding it into the gravy . "
"No taste! This is probably the worst Thye Guan outlet???","Saw your review and really sorry about this unpleasant experience. We have taken very serious action to the stall to ensure such matter wouldn't happen again. Really so sorry about this. And thanks you for the support and hope to see your order again"
"the thai milk tea came tasting like the milk is spoilt. thrown it away. the sodas were great. the thai lemon tea like no sugar.","Apologies, but happy you enjoyed other drinks. Hope for another opportunity to serve and make it up to you."
"Return customer! Best!","Thank you ??????????"
"Have tried many flavours, all is nice!","Thank you ??????????"
"Im hooked!","Thank you ??????????"
"would be better if size was stated in the description. ","We appreciate your feedback, and as per your suggestion, we have now included information on the size and volume of the drinks. Thank you!"
"Rice ball was slightly bland but the honey butter fried chic is always the bestttttttt","Thank you for your continuous support! Will do better for riceball for sure!"
"Food is fresha and crispy, neatly packaged. Love the selection! ","Thank you for your support ????????"
"Food was freshly made! Yummy! ","Thank you for your support ????????"
"Insanely expensive. So little fillings in the Banh Mi that i could only taste bread. No idea why these are being sold at such a high price","Thanks so much for your kind review, hopefully can service you again . We promise will make it better ."
"The food is nice but its really overpriced. ","Thanks so much for your kind review, hopefully can service you again . We promise will make it better ."
"Taste is okay, but not worth $13","""Hi, first of all, thank you so much for ordering with us, and also leaving your feedback. We appreciate you.
We would like to thank you again! ????????"
